ダウンロードした時刻：2021/09/28 06:01:19

,豊田,豊田,豊田
年月日,最高気温(℃),最高気温(℃),最高気温(℃)
,,,
,,品質情報,均質番号
2021/1/1,4.8,8,1
2021/1/2,7.1,8,1
2021/1/3,7.9,8,1
2021/1/4,10.4,8,1
2021/1/5,8.7,8,1
2021/1/6,8.7,8,1
2021/1/7,7.6,8,1
2021/1/8,3.1,8,1
2021/1/9,4.0,8,1
2021/1/10,5.1,8,1
2021/1/11,5.9,8,1
2021/1/12,3.3,4,1
2021/1/13,9.4,8,1
2021/1/14,12.8,8,1
2021/1/15,14.6,8,1
2021/1/16,13.6,8,1
2021/1/17,8.4,8,1
2021/1/18,7.7,8,1
2021/1/19,6.2,8,1
2021/1/20,9.2,8,1
2021/1/21,13.8,8,1
2021/1/22,10.2,8,1
2021/1/23,9.6,8,1
2021/1/24,10.6,8,1
2021/1/25,15.3,8,1
2021/1/26,15.9,8,1
2021/1/27,15.9,8,1
2021/1/28,10.0,8,1
2021/1/29,4.5,8,1
2021/1/30,6.8,8,1
2021/1/31,10.5,8,1
